분류,업무명,주기,마지막 실행일,다음 실행일,담당자,상태,예상비용(원),메모
차량,5톤 크레인트럭 자동차 정기검사,매년,2025-08-10,2026-08-15,본인,예정,100000,신경주 자동차 검사장
차량,크레인 안전검사 (산업안전),매년,2025-09-05,2026-09-05,본인,예정,200000,한국안전인증원
차량,엔진오일 교환,매3개월,2026-03-15,2026-06-15,직원,예정,80000,단골 정비소
차량,타이어 점검,매6개월,2025-12-01,2026-06-01,직원,예정,50000,
차량,자동차보험 갱신,매년,2025-07-01,2026-07-01,본인,예정,1500000,
차량,자동차세 납부 (1기),매년 6월,2025-06-30,2026-06-30,본인,예정,300000,
차량,자동차세 납부 (2기),매년 12월,2025-12-31,2026-12-31,본인,예정,300000,
세무,부가세 신고 (1분기),매년 4월 25일,2026-04-25,2027-04-25,본인,완료,0,세무사 위임
세무,부가세 신고 (2분기),매년 7월 25일,,2026-07-25,본인,예정,0,세무사 위임
세무,부가세 신고 (3분기),매년 10월 25일,,2026-10-25,본인,예정,0,세무사 위임
세무,부가세 신고 (4분기),매년 1월 25일,,2027-01-25,본인,예정,0,세무사 위임
세무,종합소득세 신고,매년 5월,2025-05-31,2026-05-31,본인,예정,0,세무사 위임
세무,원천세 신고,매월 10일,2026-04-10,2026-05-10,본인,예정,0,직원 급여 원천세
세무,4대보험 신고,매월,2026-04-15,2026-05-15,본인,예정,0,
시설,공장 임대료 지급,매월 1일,2026-04-01,2026-05-01,본인,예정,8000000,친구에게 자동이체
시설,소방시설 점검,매년,2025-11-10,2026-11-10,본인,예정,200000,
시설,전기 안전점검,매년,2025-10-20,2026-10-20,본인,예정,150000,
인력,직원 급여 지급,매월 25일,2026-04-25,2026-05-25,본인,예정,3500000,
인력,직원 건강검진,매년,2025-08-01,2026-08-01,직원,예정,0,국민건강보험공단 무료
관계,명절 거래처 인사 (설),매년 2월,2026-02-05,2027-02-05,친구,예정,1000000,주요 거래처
관계,명절 거래처 인사 (추석),매년 9월,2025-09-20,2026-09-20,친구,예정,1000000,주요 거래처
관계,거래처 신용 점검,매분기,2026-04-01,2026-07-01,본인,예정,0,주요 거래처 신용정보 확인
재무,월말 결산,매월 말일,2026-04-30,2026-05-31,본인,예정,0,
재무,재고 실사,매월 말일,2026-04-30,2026-05-31,직원,예정,0,
재무,분기 결산 검토,매분기,2026-03-31,2026-06-30,본인,예정,0,세무사와 검토
